"employees","salaries_2017","annual_salary_adjustments","salaries_2018","raise"
"Employee 1",41929.5311020687,6530.68312210962,48460.2142241783,TRUE
"Employee 2",44966.1914701574,5677.45330976322,50643.6447799206,TRUE
"Employee 3",46066.4762579836,137.746683321893,46204.2229413055,TRUE
"Employee 4",45706.8323087879,3534.53105897643,49241.3633677643,TRUE
"Employee 5",41173.072240781,5166.39175941236,46339.4640001934,TRUE
"Employee 6",45823.8847902976,-2555.51925976761,43268.36553053,FALSE
"Employee 7",49718.867696356,-2196.96772634052,47521.8999700155,FALSE
"Employee 8",49347.3756755702,6264.71410971135,55612.0897852816,TRUE
"Employee 9",41464.0206145123,-2613.82574099116,38850.1948735211,FALSE
"Employee 10",48347.2008979879,-4000.43104658835,44346.7698513996,FALSE
"Employee 11",46770.3671567142,9386.7567460984,56157.1239028126,TRUE
"Employee 12",47165.9342083149,4526.11652202904,51692.0507303439,TRUE
"Employee 13",45985.7904934324,-133.356667356566,45852.4338260759,FALSE
"Employee 14",44431.1801204458,-3327.74387672544,41103.4362437204,FALSE
"Employee 15",47972.3723861389,-2382.59008503519,45589.7823011037,FALSE
"Employee 16",40616.6475708596,4677.87706758827,45294.5246384479,TRUE
"Employee 17",42496.4693724178,7211.28132776357,49707.7507001814,TRUE
"Employee 18",43941.4462912828,-1507.34295486473,42434.103336418,FALSE
"Employee 19",43450.2332098782,5335.96465247683,48786.197862355,TRUE
"Employee 20",44287.5293409452,9481.35580634698,53768.8851472922,TRUE
"Employee 21",42938.0314913578,5118.54031938128,48056.5718107391,TRUE
"Employee 22",42596.4003289118,7570.92176820152,50167.3220971134,TRUE
"Employee 23",48063.9091762714,9467.57697383873,57531.4861501101,TRUE
"Employee 24",40790.9555360675,5447.74357229471,46238.6991083622,TRUE
"Employee 25",46950.1271098852,8145.77382057905,55095.9009304643,TRUE
"Employee 26",48320.9559530951,2008.5381611716,50329.4941142667,TRUE
"Employee 27",45596.7912683263,1370.52034842782,46967.3116167542,TRUE
"Employee 28",49700.4710347392,7847.62947587296,57548.1005106121,TRUE
"Employee 29",41798.6112460494,-872.123136650771,40926.4881093986,FALSE
"Employee 30",46879.7027436085,-2570.67563012242,44309.0271134861,FALSE
"Employee 31",46728.155980818,6029.80890893377,52757.9648897517,TRUE
"Employee 32",43940.1844376698,5585.83946432918,49526.023901999,TRUE
"Employee 33",49634.3478397466,6514.93250625208,56149.2803459987,TRUE
"Employee 34",47941.6517261416,-4553.08387987316,43388.5678462684,FALSE
"Employee 35",45574.701463338,4001.76910334267,49576.4705666807,TRUE
"Employee 36",48477.5035036728,-3465.63681494445,45011.8666887283,FALSE
"Employee 37",45227.5758865289,5780.09985620156,51007.6757427305,TRUE
"Employee 38",48049.6941669844,8881.14729546942,56930.8414624538,TRUE
"Employee 39",47998.2501640916,-1417.01782355085,46581.2323405407,FALSE
"Employee 40",47772.9791239835,-977.406098973006,46795.5730250105,FALSE
"Employee 41",44768.6855704524,7723.00686803646,52491.6924384888,TRUE
"Employee 42",48919.0847962163,-2418.365504127,46500.7192920893,FALSE
"Employee 43",49687.1913247742,581.981939030811,50269.173263805,TRUE
"Employee 44",49145.3699208796,-1082.76893384755,48062.6009870321,FALSE
"Employee 45",45078.4377381206,-61.8819892406464,45016.5557488799,FALSE
"Employee 46",41175.8009926416,-1393.27706419863,39782.523928443,FALSE
